producto,categoria,pais,anio,marca,precio_usd
Producto_1,Automotriz,Chile,2018,Sony,331.12
Producto_1,Automotriz,Chile,2019,Apple,219.52
Producto_1,Automotriz,Chile,2020,LG,108.43
Producto_1,Automotriz,Chile,2021,Sony,31.98
Producto_1,Automotriz,Chile,2022,HP,610.32
Producto_1,Automotriz,Chile,2023,HP,177.89
Producto_1,Automotriz,Chile,2024,Dell,750.91
Producto_1,Automotriz,Peru,2018,Apple,787.24
Producto_1,Automotriz,Peru,2019,Sony,702.41
Producto_1,Automotriz,Peru,2020,Samsung,310.43
Producto_1,Automotriz,Peru,2021,Xiaomi,393.01
Producto_1,Automotriz,Peru,2022,Samsung,377.95
Producto_1,Automotriz,Peru,2023,Xiaomi,128.28
Producto_1,Automotriz,Peru,2024,Xiaomi,354.52
Producto_1,Automotriz,Colombia,2018,LG,91.25
Producto_1,Automotriz,Colombia,2019,LG,719.57
Producto_1,Automotriz,Colombia,2020,Dell,523.33
Producto_1,Automotriz,Colombia,2021,Dell,558.14
Producto_1,Automotriz,Colombia,2022,Huawei,65.11
Producto_1,Automotriz,Colombia,2023,LG,413.05
Producto_1,Automotriz,Colombia,2024,Huawei,676.88
Producto_1,Automotriz,Mexico,2018,Samsung,604.86
Producto_1,Automotriz,Mexico,2019,Samsung,36.46
Producto_1,Automotriz,Mexico,2020,Huawei,110.53
Producto_1,Automotriz,Mexico,2021,Samsung,328.13
Producto_1,Automotriz,Mexico,2022,Samsung,658.2
Producto_1,Automotriz,Mexico,2023,LG,96.38
Producto_1,Automotriz,Mexico,2024,Samsung,191.81
Producto_1,Automotriz,Argentina,2018,Xiaomi,668.51
Producto_1,Automotriz,Argentina,2019,Sony,52.2
Producto_1,Automotriz,Argentina,2020,HP,280.9
Producto_1,Automotriz,Argentina,2021,Xiaomi,595.99
Producto_1,Automotriz,Argentina,2022,Xiaomi,643.42
Producto_1,Automotriz,Argentina,2023,Sony,365.76
Producto_1,Automotriz,Argentina,2024,Xiaomi,294.2
Producto_1,Automotriz,Brasil,2018,Huawei,556.19
Producto_1,Automotriz,Brasil,2019,Dell,428.76
Producto_1,Automotriz,Brasil,2020,Huawei,595.74
Producto_1,Automotriz,Brasil,2021,Apple,74.68
Producto_1,Automotriz,Brasil,2022,Xiaomi,144.42
Producto_1,Automotriz,Brasil,2023,Samsung,556.48
Producto_1,Automotriz,Brasil,2024,Samsung,562.94
Producto_2,Automotriz,Chile,2018,Samsung,454.23
Producto_2,Automotriz,Chile,2019,HP,538.57
Producto_2,Automotriz,Chile,2020,Huawei,350.0
Producto_2,Automotriz,Chile,2021,LG,517.32
Producto_2,Automotriz,Chile,2022,LG,292.18
Producto_2,Automotriz,Chile,2023,HP,657.36
Producto_2,Automotriz,Chile,2024,HP,37.38
