producto,categoria,pais,anio,marca
Producto_1,Automotriz,Chile,2018,LG
Producto_1,Automotriz,Chile,2019,HP
Producto_1,Automotriz,Chle,2020,Huwei
Producto_1,Automotriz,Chile,2021,Xiaomi
Producto_1,Automotriz,Chile,2022,Sony
Producto_1,Automotriz,Chile,2023,HP
Producto_1,Automotriz,Chile,2024,Appe
Producto_1,Automotriz,Peru,2018,Dell
Producto_1,Automotriz,Peruu,2019,Del
Producto_1,Automotriz,Peru,2020,Xkaomi
Producto_1,Automotriz,Peru,2021,HP
Producto_1,Automotriz,Peru,2022,Sony
Producto_1,Automotriz,Peur,2023,Dfll
Producto_1,Automotriz,Pru,2024,HP
Producto_1,Automotriz,Cplombia,2018,Huawei
Producto_1,Automotriz,Colombia,2019,Dell
Producto_1,Automotriz,Colombia,2020,Dlel
Producto_1,Automotriz,Colombiia,2021,Dell
Producto_1,Automotriz,Colombia,2022,aSmsung
Producto_1,Automotriz,Colomia,2023,LG
Producto_1,Automotriz,Colombia,2024,Huawei
Producto_1,Automotriz,Mexioc,2018,LG
Producto_1,Automotriz,Mexico,2019,Samsung
Producto_1,Automotriz,Mexioc,2020,Dell
Producto_1,Automotriz,Mexio,2021,Dell
Producto_1,Automotriz,Mwxico,2022,LG
Producto_1,Automotriz,Mexico,2023,Dell
Producto_1,Automotriz,Mexico,2024,Spny
Producto_1,Automotriz,Argentina,2018,Apple
Producto_1,Automotriz,Argentina,2019,Huawei
Producto_1,Automotriz,Argentina,2020,Dell
Producto_1,Automotriz,rAgentina,2021,Xiaomi
Producto_1,Automotriz,Argentina,2022,H
Producto_1,Automotriz,Argentina,2023,Apple
Producto_1,Automotriz,Argentina,2024,HP
Producto_1,Automotriz,Brasil,2018,Xiaomi
Producto_1,Automotriz,Brasil,2019,HP
Producto_1,Automotriz,Brasil,2020,Sony
Producto_1,Automotriz,Brsil,2021,Del
Producto_1,Automotriz,Brasil,2022,aSmsung
Producto_1,Automotriz,Brasil,2023,Xiaomi
Producto_1,Automotriz,Brsil,2024,XXiaomi
Producto_2,Automotriz,Chile,2018,HHuawei
Producto_2,Automotriz,Chile,2019,Apple
Producto_2,Automotriz,Chilee,2020,Dell
Producto_2,Automotriz,Chile,2021,Dell
Producto_2,Automotriz,Chile,2022,Apple
Producto_2,Automotriz,Chile,2023,Samsung
Producto_2,Automotriz,Chile,2024,Huawei
Producto_2,Automotriz,Peru,2018,Sony
Producto_2,Automotriz,Peeru,2019,Xiaomi
Producto_2,Automotriz,Peru,2020,Apple
Producto_2,Automotriz,PPeru,2021,Apple
Producto_2,Automotriz,Peru,2022,Apple
Producto_2,Automotriz,Pru,2023,LG
Producto_2,Automotriz,Peru,2024,Sony
Producto_2,Automotriz,Colombia,2018,Huawei
Producto_2,Automotriz,Colombia,2019,Huawri
Producto_2,Automotriz,Colomia,2020,HP
Producto_2,Automotriz,Colombia,2021,Huawei
Producto_2,Automotriz,Colonbia,2022,Apple
Producto_2,Automotriz,Coolombia,2023,Swmsung
Producto_2,Automotriz,Colombai,2024,HP
Producto_2,Automotriz,Mexico,2018,HP
Producto_2,Automotriz,Mexico,2019,LG
Producto_2,Automotriz,Mexico,2020,Xiaomi
Producto_2,Automotriz,Mexico,2021,Huawei
Producto_2,Automotriz,Mexico,2022,qpple
Producto_2,Automotriz,Mexico,2023,Sony
Producto_2,Automotriz,Mexico,2024,HP
Producto_2,Automotriz,Agrentina,2018,LG
Producto_2,Automotriz,Argntina,2019,Dell
Producto_2,Automotriz,Argentina,2020,Huawe
