producto,categoria,pais,anio,marca,precio_usd
Producto_1,Electrónica,Chile,2018,Xiaomi,940.99
Producto_1,Electrónica,Chile,2019,Huawei,584.91
Producto_1,Electrónica,Chile,2020,Dell,662.93
Producto_1,Electrónica,Chile,2021,LG,859.85
Producto_1,Electrónica,Chile,2022,HP,1161.31
Producto_1,Electrónica,Chile,2023,LG,282.19
Producto_1,Electrónica,Chile,2024,Sony,1018.64
Producto_1,Electrónica,Peru,2018,LG,1166.7
Producto_1,Electrónica,Peru,2019,Huawei,247.82
Producto_1,Electrónica,Peru,2020,LG,334.77
Producto_1,Electrónica,Peru,2021,Xiaomi,117.96
Producto_1,Electrónica,Peru,2022,Samsung,1469.19
Producto_1,Electrónica,Peru,2023,HP,123.79
Producto_1,Electrónica,Peru,2024,Sony,226.45
Producto_1,Electrónica,Colombia,2018,Samsung,186.28
Producto_1,Electrónica,Colombia,2019,HP,1167.49
Producto_1,Electrónica,Colombia,2020,Samsung,218.69
Producto_1,Electrónica,Colombia,2021,Huawei,1149.44
Producto_1,Electrónica,Colombia,2022,LG,143.61
Producto_1,Electrónica,Colombia,2023,Huawei,915.31
Producto_1,Electrónica,Colombia,2024,Sony,717.27
Producto_1,Electrónica,Mexico,2018,Apple,979.59
Producto_1,Electrónica,Mexico,2019,Apple,219.85
Producto_1,Electrónica,Mexico,2020,Apple,909.04
Producto_1,Electrónica,Mexico,2021,HP,272.02
Producto_1,Electrónica,Mexico,2022,Xiaomi,1388.54
Producto_1,Electrónica,Mexico,2023,Huawei,1402.16
Producto_1,Electrónica,Mexico,2024,Apple,110.12
Producto_1,Electrónica,Argentina,2018,Apple,851.93
Producto_1,Electrónica,Argentina,2019,Samsung,1342.13
Producto_1,Electrónica,Argentina,2020,Sony,741.67
Producto_1,Electrónica,Argentina,2021,Apple,365.08
Producto_1,Electrónica,Argentina,2022,HP,695.19
Producto_1,Electrónica,Argentina,2023,Samsung,716.17
Producto_1,Electrónica,Argentina,2024,Sony,908.0
Producto_1,Electrónica,Brasil,2018,LG,838.23
Producto_1,Electrónica,Brasil,2019,Apple,244.21
Producto_1,Electrónica,Brasil,2020,Dell,1342.95
Producto_1,Electrónica,Brasil,2021,Samsung,382.9
Producto_1,Electrónica,Brasil,2022,Dell,229.81
Producto_1,Electrónica,Brasil,2023,Apple,1019.29
Producto_1,Electrónica,Brasil,2024,Sony,134.99
Producto_2,Deporte,Chile,2018,Xiaomi,177.57
Producto_2,Deporte,Chile,2019,Xiaomi,188.96
Producto_2,Deporte,Chile,2020,Sony,260.31
Producto_2,Deporte,Chile,2021,Huawei,195.69
Producto_2,Deporte,Chile,2022,Xiaomi,213.98
Producto_2,Deporte,Chile,2023,Xiaomi,319.89
Producto_2,Deporte,Chile,2024,Samsung,41.23
Producto_2,Deporte,Peru,2018,Huawei,270.59
Producto_2,Deporte,Peru,2019,LG,296.61
Producto_2,Deporte,Peru,2020,LG,182.78
Producto_2,Deporte,Peru,2021,Huawei,391.89
Producto_2,Deporte,Peru,2022,Sony,194.65
Producto_2,Deporte,Peru,2023,Dell,158.89
Producto_2,Deporte,Peru,2024,Dell,359.3
Producto_2,Deporte,Colombia,2018,Xiaomi,64.45
Producto_2,Deporte,Colombia,2019,HP,357.85
Producto_2,Deporte,Colombia,2020,Huawei,53.91
Producto_2,Deporte,Colombia,2021,HP,50.71
Producto_2,Deporte,Colombia,2022,Sony,340.35
Producto_2,Deporte,Colombia,2023,Dell,32.64
Producto_2,Deporte,Colombia,2024,Huawei,329.84
Producto_2,Deporte,Mexico,2018,HP,36.21
Producto_2,Deporte,Mexico,2019,Dell,293.63
Producto_2,Deporte,Mexico,2020,LG,330.89
Producto_2,Deporte,Mexico,2021,Huawei,130.64
Producto_2,Deporte,Mexico,2022,HP,186.68
Producto_2,Deporte,Mexico,2023,Xiaomi,248.83
Producto_2,Deporte,Mexico,2024,Dell,99.55
Producto_2,Deporte,Argentina,2018,Sony,314.97
Producto_2,Deporte,Argentina,2019,Xiaomi,31.92
Producto_2,Deporte,Argentina,2020,HP,310.71
Producto_2,Deporte,Argentina,2021,Apple,68.73
Producto_2,Deporte,Argentina,2022,LG,294.66
Producto_2,Deporte,Argentina,2023,HP,95.61
Producto_2,Deporte,Argentina,2024,Xiaomi,396.96
Producto_2,Deporte,Brasil,2018,Samsung,269.82
Producto_2,Deporte,Brasil,2019,LG,125.52
Producto_2,Deporte,Brasil,2020,Samsung,143.85
Producto_2,Deporte,Brasil,2021,Dell,144.96
