producto,categoria,pais,anio,marca
Producto_1,Electrónica,Chile,2018,Huawei
Producto_1,Electrónica,Chile,2019,Dekl
Producto_1,Electrónica,Chle,2020,LG
Producto_1,Electrónica,Chile,2021,Apple
Producto_1,Electrónica,Chile,2022,Sansung
Producto_1,Electrónica,Chile,2023,Sony
Producto_1,Electrónica,Chile,2024,P
Producto_1,Electrónica,Pru,2018,Sony
Producto_1,Electrónica,Peru,2019,Sony
Producto_1,Electrónica,Peru,2020,Dell
Producto_1,Electrónica,Peru,2021,Huawei
Producto_1,Electrónica,Pru,2022,HP
Producto_1,Electrónica,Peru,2023,Xaiomi
Producto_1,Electrónica,Peu,2024,HPP
Producto_1,Electrónica,Colombia,2018,Sony
Producto_1,Electrónica,Colombia,2019,Dell
Producto_1,Electrónica,Colombia,2020,Huawei
Producto_1,Electrónica,Colombia,2021,HP
Producto_1,Electrónica,Colombia,2022,Sony
Producto_1,Electrónica,Colombia,2023,Apple
Producto_1,Electrónica,Colombia,2024,Dell
Producto_1,Electrónica,Mexico,2018,L-G
Producto_1,Electrónica,Mxeico,2019,Hawei
Producto_1,Electrónica,Mexico,2020,Soony
Producto_1,Electrónica,Mexico,2021,LG
Producto_1,Electrónica,Mexico,2022,Huawei
Producto_1,Electrónica,Mexico,2023,Xaiomi
Producto_1,Electrónica,Mexicco,2024,Dell
Producto_1,Electrónica,Argentina,2018,Xiaomi
Producto_1,Electrónica,Argenttina,2019,ony
Producto_1,Electrónica,Argentina,2020,Samsuung
Producto_1,Electrónica,Argentina,2021,Appl
Producto_1,Electrónica,Argentina,2022,Aple
Producto_1,Electrónica,Argentina,2023,Soni
Producto_1,Electrónica,Argentina,2024,Sony
Producto_1,Electrónica,Brasil,2018,L-G
Producto_1,Electrónica,Brasil,2019,Huawwei
Producto_1,Electrónica,Brasil,2020,LG
Producto_1,Electrónica,Brasil,2021,Sony
Producto_1,Electrónica,Brasl,2022,Huawei
Producto_1,Electrónica,Brasil,2023,Samsung
Producto_1,Electrónica,rBasil,2024,Sony
Producto_2,Deporte,Cihle,2018,Apple
Producto_2,Deporte,Chile,2019,Sasmung
Producto_2,Deporte,Chile,2020,AApple
Producto_2,Deporte,Chile,2021,HP
Producto_2,Deporte,Chile,2022,Xiaomi
Producto_2,Deporte,Chile,2023,GL
Producto_2,Deporte,Chhile,2024,Dll
Producto_2,Deporte,Peru,2018,Apple
Producto_2,Deporte,eru,2019,Sony
Producto_2,Deporte,Pru,2020,Del
Producto_2,Deporte,Peru,2021,Apppe
Producto_2,Deporte,PPeru,2022,Sony
Producto_2,Deporte,Peri,2023,Huawei
Producto_2,Deporte,Peru,2024,Soy
Producto_2,Deporte,Colombia,2018,HP
Producto_2,Deporte,Collombia,2019,HP
Producto_2,Deporte,Colomia,2020,Huawei
Producto_2,Deporte,Colombia,2021,Dell
Producto_2,Deporte,Colombis,2022,Sony
Producto_2,Deporte,Colombia,2023,Dell
Producto_2,Deporte,Colombia,2024,HP
Producto_2,Deporte,Mexico,2018,Xiaomi
Producto_2,Deporte,Mexio,2019,L
Producto_2,Deporte,Mexico,2020,Dell
Producto_2,Deporte,Mexico,2021,Xiaoni
Producto_2,Deporte,Mexico,2022,Apple
Producto_2,Deporte,Mexico,2023,Samsung
Producto_2,Deporte,Mexico,2024,Sojy
Producto_2,Deporte,Argentina,2018,Sony
Producto_2,Deporte,Argentina,2019,Dell
Producto_2,Deporte,Argentina,2020,Huawei
Producto_2,Deporte,Argentina,2021,Xiaomi
Producto_2,Deporte,Argentnia,2022,Samsung
Producto_2,Deporte,Argnetina,2023,Aplle
Producto_2,Deporte,Argentina,2024,zony
Producto_2,Deporte,Brasil,2018,LLG
Producto_2,Deporte,Barsil,2019,HP
Producto_2,Deporte,Brsil,2020,Samsung
Producto_2,Deporte,Brasil,2021,Dell
Producto_2,Deporte,Brsil,2022,Sony
Producto_2,Deporte,Brasil,2023,Dell
Producto_2,Deporte,BBrasil,2024,Xiaoi
Producto_3,Electrónica,Chle,2018,Dell
Producto_3,Electrónica,Chile,2019,XXiaomi
Producto_3,Electrónica,Chile,2020,Xiaomi
Producto_3,Electrónica,Chiel,2021,oSny
Producto_3,Electrónica,Chle,2022,LG
Producto_3,Electrónica,Chile,2023,HP
Producto_3,Electrónica,Chile,2024,LG
Producto_3,Electrónica,ePru,2018,Samsung
Producto_3,Electrónica,Peru,2019,Apple
Producto_3,Electrónica,Pru,2020,Dell
Producto_3,Electrónica,Peru,2021,HP
Producto_3,Electrónica,Pru,2022,Xaiomi
Producto_3,Electrónica,Peru,2023,Dell
Producto_3,Electrónica,Peru,2024,HP
Producto_3,Electrónica,Colombia,2018,LG
Producto_3,Electrónica,Colombia,2019,Sony
Producto_3,Electrónica,Colombia,2020,Del
Producto_3,Electrónica,Colombia,2021,Huawei
Producto_3,Electrónica,Colkmbia,2022,LG
Producto_3,Electrónica,Colombis,2023,Apple
Producto_3,Electrónica,Colombia,2024,Xiaomi
Producto_3,Electrónica,Mexico,2018,HP
Producto_3,Electrónica,MMexico,2019,Sony
Producto_3,Electrónica,Mexco,2020,Huawei
Producto_3,Electrónica,Mexico,2021,Xiaomi
Producto_3,Electrónica,Mexico,2022,Apple
Producto_3,Electrónica,Mexio,2023,Xiaomi
Producto_3,Electrónica,Mexico,2024,Samsuny
Producto_3,Electrónica,Argentina,2018,Xiaomi
Producto_3,Electrónica,Argntina,2019,Huawei
Producto_3,Electrónica,Argentina,2020,Apple
Producto_3,Electrónica,Argentina,2021,Aople
Producto_3,Electrónica,Argentina,2022,Huawi
Producto_3,Electrónica,Argentina,2023,Huawei
Producto_3,Electrónica,Argentina,2024,Sony
Producto_3,Electrónica,Brasil,2018,Apple
Producto_3,Electrónica,Brasil,2019,Sony
Producto_3,Electrónica,Brasil,2020,LG
Producto_3,Electrónica,Brasil,2021,GL
